国家,类型,id,人数,漏斗,流失率0129,0127漏斗,0127流失率,流失率差值
BR,Task,10119021,11,1.02%,0.09%,0.80%,0.00%,0.09%
BR,Task,1011903,11,1.02%,0.00%,0.80%,0.00%,0.00%
BR,Task,1011904,11,1.02%,0.00%,0.80%,0.00%,0.00%
BR,Task,1011905,11,1.02%,0.00%,0.80%,0.00%,0.00%
BR,Task,1011906,10,0.93%,0.09%,0.80%,0.00%,0.09%
BR,Task,1012001,10,0.93%,0.00%,0.80%,0.00%,0.00%
BR,Task,1012002,10,0.93%,0.00%,0.80%,0.00%,0.00%
BR,Task,1012003,10,0.93%,0.00%,0.80%,0.00%,0.00%
BR,Task,1012004,10,0.93%,0.00%,0.80%,0.00%,0.00%
BR,Task,10120041,8,0.74%,0.19%,0.64%,0.16%,0.03%
